d/R,Iteration,Critical pressure
0.10526315789473684,1.0,0.259381122
0.10526315789473684,1.0,0.30157709400000005
0.10526315789473684,2.0,0.257312692
0.10526315789473684,2.0,0.305713954
0.2222222222222222,1.0,1.2435401160000001
0.2222222222222222,1.0,1.288218204
0.2222222222222222,2.0,1.1521155100000002
0.2222222222222222,2.0,1.2369211400000002
0.2598870056497175,1.0,1.6212354340000001
0.2598870056497175,1.0,1.6572261160000004
0.2598870056497175,1.0,1.5215371080000002
0.2598870056497175,1.0,1.6783241020000004
0.2598870056497175,2.0,1.6104795980000002
0.2598870056497175,2.0,1.5827626360000002
0.2598870056497175,2.0,1.6381965600000001
0.2598870056497175,2.0,1.48513274
0.2857142857142857,1.0,1.9116430060000005
0.2857142857142857,1.0,1.8500037920000003
0.2857142857142857,1.0,1.81401311
0.2857142857142857,1.0,1.6212354340000001
0.2857142857142857,2.0,1.7970519840000003
0.2857142857142857,2.0,1.7548560120000003
0.2857142857142857,2.0,1.6911483680000003
0.2857142857142857,2.0,1.5467719540000002
0.35294117647058826,1.0,2.9466853780000006
0.35294117647058826,1.0,2.9533043540000006
0.35294117647058826,1.0,3.0848565020000005
0.35294117647058826,1.0,2.7518392720000002
0.35294117647058826,2.0,2.906557836
0.35294117647058826,2.0,2.8598113180000007
0.35294117647058826,2.0,2.9975687560000006
0.35294117647058826,2.0,2.6922684880000003
0.5,1.0,5.00696745
0.5,1.0,5.502010500000001
0.5,1.0,5.608189650000001
0.5,2.0,4.773924900000001
0.5,2.0,5.184852
0.5,2.0,5.410999800000001
0.5806451612903226,1.0,5.9405166000000005
0.5806451612903226,1.0,6.089443200000001
0.5806451612903226,2.0,5.8770849
0.5806451612903226,2.0,6.012222000000001
0.6666666666666666,1.0,7.771762200000001
0.6666666666666666,1.0,7.8848361
0.6666666666666666,1.0,9.030743550000002
0.6666666666666666,2.0,7.651793550000002
0.6666666666666666,2.0,7.6738567500000014
0.6666666666666666,2.0,8.040657450000001
